start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
184.97.192.196,184.97.192.197,184.97.0.0,Grantsburg,Wisconsin,US,45.77634,-92.6827,54840,America/Chicago
177.57.158.84,177.57.158.87,177.57.0.0,Canoas,Rio Grande do Sul,BR,-29.91778,-51.18361,92000-000,America/Sao_Paulo
2409:4064:2e25:6000::,2409:4064:2e25:7fff:ffff:ffff:ffff:ffff,2409:4064::,Pallāvaram,Tamil Nadu,IN,12.96796,80.15025,600043,Asia/Kolkata
2001:16a2:44cc:a900::,2001:16a2:44cc:abff:ffff:ffff:ffff:ffff,2001:16a2:4000::,Ha'il,Ha'il Region,SA,27.52188,41.69073,,Asia/Riyadh
2c0d:8a00:c000::,2c0d:8a00:ffff:ffff:ffff:ffff:ffff:ffff,2c0d:8a00:c000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
106.193.21.148,106.193.21.151,106.193.0.0,Shikaripura,Karnataka,IN,14.2698,75.35643,577427,Asia/Kolkata
72.14.208.30,72.14.208.30,72.14.0.0,Hong Kong,,HK,22.27832,114.17469,999077,Asia/Hong_Kong
2606:2607:3400::,2606:2607:3400:ff:ffff:ffff:ffff:ffff,2606:2607::,Wichita,Kansas,US,37.69224,-97.33754,67201,America/Chicago
2605:a000:0:4::2:7a4,2605:a000:0:4::2:7a5,2605:a000::,Dayton,Ohio,US,39.6651,-84.2401,45449,America/New_York
2409:4089:2e1e:a600::,2409:4089:2e1e:a7ff:ffff:ffff:ffff:ffff,2409:4089::,Bhubaneswar,Odisha,IN,20.27241,85.83385,752115,Asia/Kolkata
240e:3a3:6eea:ad00::,240e:3a3:6eea:aeff:ffff:ffff:ffff:ffff,240e:3a3:4000::,Hangzhou,Zhejiang,CN,30.29365,120.16142,310000,Asia/Shanghai
240e:338:4c44:5d00::,240e:338:4c44:5dff:ffff:ffff:ffff:ffff,240e:338:4000::,Chengdu,Sichuan,CN,30.66667,104.06667,610000,Asia/Shanghai
2a05:59d2:c000::,2a05:59d2:ffff:ffff:ffff:ffff:ffff:ffff,2a05:59d2:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2632:d0d8::,2632:d0d8:3fff:ffff:ffff:ffff:ffff:ffff,2632:d0d8::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2c0d:bfa2:8000::,2c0d:bfa2:bfff:ffff:ffff:ffff:ffff:ffff,2c0d:bfa2:8000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
207.177.147.136,207.177.147.136,207.177.0.0,Los Angeles,California,US,33.9245,-118.2716,90061,America/Los_Angeles
241d:1c2::,241d:1c2:3fff:ffff:ffff:ffff:ffff:ffff,241d:1c2::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
280f:3755:c000::,280f:3755:ffff:ffff:ffff:ffff:ffff:ffff,280f:3755:c000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
90.214.115.96,90.214.115.97,90.214.0.0,Whaplode,England,GB,52.79934,-0.03639,PE12,Europe/London
2807:9058:8000::,2807:9058:bfff:ffff:ffff:ffff:ffff:ffff,2807:9058:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2805:2725::,2805:2725:3fff:ffff:ffff:ffff:ffff:ffff,2805:2725::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
31.127.113.151,31.127.113.151,31.127.0.0,East Ham,England,GB,51.53333,0.05,E6,Europe/London
2001:e60:b410:7c00::,2001:e60:b410:7cff:ffff:ffff:ffff:ffff,2001:e60:8000::,Daegu,Daegu,KR,35.87028,128.59111,41581,Asia/Seoul
280c:4cbc:8000::,280c:4cbc:bfff:ffff:ffff:ffff:ffff:ffff,280c:4cbc:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2a04:9bc8::,2a04:9bc8:3fff:ffff:ffff:ffff:ffff:ffff,2a04:9bc8::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
37.33.168.132,37.33.169.229,37.33.0.0,Porvoo,Uusimaa,FI,60.39233,25.66507,06100,Europe/Helsinki
174.24.187.60,174.24.187.67,174.24.0.0,Clayton,North Carolina,US,35.65071,-78.45639,27520,America/New_York
223.177.240.103,223.177.240.105,223.177.0.0,Durgapur,West Bengal,IN,23.51583,87.30801,742187,Asia/Kolkata
133.110.45.0,133.110.45.7,133.110.0.0,Miyata,Fukuoka,JP,33.70811,130.65297,823-0011,Asia/Tokyo
82.141.183.187,82.141.186.1,82.141.0.0,Budapest,Budapest,HU,47.49835,19.04045,1007,Europe/Budapest
2405:204:a50b:e200::,2405:204:a50b:e2ff:ffff:ffff:ffff:ffff,2405:204:8000::,Sandīla,Uttar Pradesh,IN,27.06989,80.51497,241204,Asia/Kolkata
138.248.177.163,138.248.177.192,138.248.0.0,London,England,GB,51.50853,-0.12574,E1W,Europe/London
2409:4072:890:de00::,2409:4072:890:deff:ffff:ffff:ffff:ffff,2409:4072::,Pollachi,Tamil Nadu,IN,10.65825,77.0085,642001,Asia/Kolkata
2c0c:c1f4::,2c0c:c1f4:3fff:ffff:ffff:ffff:ffff:ffff,2c0c:c1f4::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
174.127.62.112,174.127.62.127,174.127.0.0,Los Angeles,California,US,34.05223,-118.24368,90009,America/Los_Angeles
2a01:53d7:8000::,2a01:53d7:bfff:ffff:ffff:ffff:ffff:ffff,2a01:53d7:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
241d:b8ee:c000::,241d:b8ee:ffff:ffff:ffff:ffff:ffff:ffff,241d:b8ee:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
75.168.154.150,75.168.154.151,75.168.0.0,Oak Grove,Minnesota,US,45.3408,-93.3269,55070,America/Chicago
72.139.92.208,72.139.92.215,72.139.0.0,Ajax,Ontario,CA,43.85012,-79.03288,L1S,America/Toronto
2408:841a:4d10:f000::,2408:841a:4d10:f4ff:ffff:ffff:ffff:ffff,2408:841a:4000::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2408:8000:2:c28::,2408:8000:2:c28:ffff:ffff:ffff:ffff,2408:8000::,Shenzhen,Guangdong,CN,22.54554,114.0683,518000,Asia/Shanghai
2414:b18c:c000::,2414:b18c:ffff:ffff:ffff:ffff:ffff:ffff,2414:b18c:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2409:4061:699:5f00::,2409:4061:699:5fff:ffff:ffff:ffff:ffff,2409:4061::,Guskhara,West Bengal,IN,23.49276,87.73484,713128,Asia/Kolkata
2c08:59ee:8000::,2c08:59ee:bfff:ffff:ffff:ffff:ffff:ffff,2c08:59ee:8000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
2608:d6b5::,2608:d6b5:3fff:ffff:ffff:ffff:ffff:ffff,2608:d6b5::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2409:4085:9e9c:1e00::,2409:4085:9e9c:1eff:ffff:ffff:ffff:ffff,2409:4085:8000::,Jalesar,Uttar Pradesh,IN,27.47315,78.3031,207302,Asia/Kolkata
2001:e60:a31a:b800::,2001:e60:a31a:b8ff:ffff:ffff:ffff:ffff,2001:e60:8000::,Daejeon,Daejeon,KR,36.34913,127.38493,35228,Asia/Seoul
191.143.5.143,191.143.5.143,191.143.0.0,Esmeraldas,Minas Gerais,BR,-19.7625,-44.31389,35740-000,America/Sao_Paulo
2607:2fcd:c000::,2607:2fcd:ffff:ffff:ffff:ffff:ffff:ffff,2607:2fcd:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
